referrer,views_total,views_unique
github.com,679,63
icefiredb.xyz,31,6
news.ycombinator.com,20,5
Google,19,4
StartPage,10,1
dev.to,8,2
t.co,8,1
v2ex.com,5,4
golang.ch,4,2
runacap.com,3,3
