time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-25 00:00:00+00:00,219,78,41,7
2023-04-26 00:00:00+00:00,328,124,8,7
2023-04-27 00:00:00+00:00,335,117,16,11
2023-04-28 00:00:00+00:00,755,130,120,2
2023-04-29 00:00:00+00:00,857,151,234,9
2023-04-30 00:00:00+00:00,459,133,4,4
2023-05-01 00:00:00+00:00,319,127,8,3
2023-05-02 00:00:00+00:00,232,113,28,5
2023-05-03 00:00:00+00:00,318,123,41,4
2023-05-04 00:00:00+00:00,462,148,69,5
2023-05-05 00:00:00+00:00,407,128,26,9
2023-05-06 00:00:00+00:00,356,139,8,7
2023-05-07 00:00:00+00:00,222,95,18,6
2023-05-08 00:00:00+00:00,118,77,27,6
