time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-04 00:00:00+00:00,300,10,12,10
2026-04-05 00:00:00+00:00,718,5,52,52
2026-04-06 00:00:00+00:00,1174,25,64,39
2026-04-07 00:00:00+00:00,1359,31,11,11
2026-04-08 00:00:00+00:00,1411,35,40,18
2026-04-09 00:00:00+00:00,986,33,26,24
2026-04-10 00:00:00+00:00,623,29,10,10
2026-04-11 00:00:00+00:00,1390,32,36,24
2026-04-12 00:00:00+00:00,930,41,158,146
2026-04-13 00:00:00+00:00,824,34,28,25
2026-04-14 00:00:00+00:00,617,19,14,9
2026-04-15 00:00:00+00:00,665,17,9,7
2026-04-16 00:00:00+00:00,490,12,21,21
2026-04-17 00:00:00+00:00,638,19,20,14
