time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-25 00:00:00+00:00,70,14,42,5
2023-07-26 00:00:00+00:00,121,59,23,10
2023-07-27 00:00:00+00:00,135,68,9,7
2023-07-28 00:00:00+00:00,64,30,9,7
2023-07-29 00:00:00+00:00,94,17,46,3
2023-07-30 00:00:00+00:00,38,7,51,7
2023-07-31 00:00:00+00:00,81,54,14,4
2023-08-01 00:00:00+00:00,129,52,17,4
2023-08-02 00:00:00+00:00,123,34,52,5
2023-08-03 00:00:00+00:00,75,14,22,11
2023-08-04 00:00:00+00:00,39,10,6,6
2023-08-05 00:00:00+00:00,129,49,11,5
2023-08-06 00:00:00+00:00,118,58,24,6
2023-08-07 00:00:00+00:00,88,51,12,7
