time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-08 00:00:00+00:00,27,6,61,6
2022-07-09 00:00:00+00:00,48,17,53,3
2022-07-10 00:00:00+00:00,20,16,20,4
2022-07-11 00:00:00+00:00,140,62,114,13
2022-07-12 00:00:00+00:00,283,102,71,10
2022-07-13 00:00:00+00:00,287,118,52,8
2022-07-14 00:00:00+00:00,149,72,38,9
2022-07-15 00:00:00+00:00,53,22,53,10
2022-07-16 00:00:00+00:00,1,1,32,6
2022-07-17 00:00:00+00:00,4,2,25,6
2022-07-18 00:00:00+00:00,255,12,568,72
2022-07-19 00:00:00+00:00,74,9,107,10
2022-07-20 00:00:00+00:00,40,8,63,7
2022-07-21 00:00:00+00:00,114,58,74,7
