time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-04 00:00:00+00:00,6,3,34,5
2022-06-05 00:00:00+00:00,21,7,19,3
2022-06-06 00:00:00+00:00,7,3,39,7
2022-06-07 00:00:00+00:00,34,9,43,5
2022-06-08 00:00:00+00:00,312,112,102,9
2022-06-09 00:00:00+00:00,303,109,28,7
2022-06-10 00:00:00+00:00,350,104,60,9
2022-06-11 00:00:00+00:00,430,103,365,79
2022-06-12 00:00:00+00:00,311,95,364,80
2022-06-13 00:00:00+00:00,343,113,507,50
2022-06-14 00:00:00+00:00,353,113,239,29
2022-06-15 00:00:00+00:00,365,111,218,21
2022-06-16 00:00:00+00:00,348,99,191,19
2022-06-17 00:00:00+00:00,311,93,92,11
