time_iso8601,stars_cumulative
2022-08-13 00:00:00+00:00,880
2022-08-14 00:00:00+00:00,881
2022-08-15 00:00:00+00:00,884
2022-08-18 00:00:00+00:00,885
2022-08-20 00:00:00+00:00,886
2022-08-23 00:00:00+00:00,887
2022-09-02 00:00:00+00:00,888
2022-09-03 00:00:00+00:00,890
2022-09-05 00:00:00+00:00,891
2022-09-09 00:00:00+00:00,892
2022-09-12 00:00:00+00:00,893
2022-09-13 00:00:00+00:00,894
2022-09-16 00:00:00+00:00,895
2022-09-19 00:00:00+00:00,896
2022-09-21 00:00:00+00:00,897
2022-09-23 00:00:00+00:00,899
2022-09-24 00:00:00+00:00,900
2022-09-28 00:00:00+00:00,901
2022-09-29 00:00:00+00:00,903
2022-09-30 00:00:00+00:00,904
2022-10-03 00:00:00+00:00,906
2022-10-11 00:00:00+00:00,907
2022-10-13 00:00:00+00:00,908
2022-10-18 00:00:00+00:00,909
2022-10-22 00:00:00+00:00,911
2022-10-24 00:00:00+00:00,913
2022-10-28 00:00:00+00:00,914
2022-10-30 00:00:00+00:00,916
2022-10-31 00:00:00+00:00,917
2022-11-03 00:00:00+00:00,919
2022-11-13 00:00:00+00:00,920
2022-11-23 00:00:00+00:00,921
2022-11-27 00:00:00+00:00,922
2022-11-29 00:00:00+00:00,923
2022-12-01 00:00:00+00:00,924
2022-12-09 00:00:00+00:00,925
2022-12-19 00:00:00+00:00,926
2022-12-22 00:00:00+00:00,927
2022-12-26 00:00:00+00:00,928
2022-12-31 00:00:00+00:00,931
2023-01-01 00:00:00+00:00,932
2023-01-02 00:00:00+00:00,933
2023-01-03 00:00:00+00:00,934
2023-01-05 00:00:00+00:00,935
2023-01-06 00:00:00+00:00,936
2023-01-07 00:00:00+00:00,938
2023-01-08 00:00:00+00:00,939
2023-01-11 00:00:00+00:00,940
2023-01-14 00:00:00+00:00,941
2023-01-19 00:00:00+00:00,942
2023-01-20 00:00:00+00:00,944
2023-01-21 00:00:00+00:00,945
2023-02-01 00:00:00+00:00,946
2023-02-03 00:00:00+00:00,947
2023-02-05 00:00:00+00:00,948
2023-02-07 00:00:00+00:00,949
2023-02-09 00:00:00+00:00,950
2023-02-10 00:00:00+00:00,951
2023-02-17 00:00:00+00:00,952
2023-02-21 00:00:00+00:00,953
2023-02-23 00:00:00+00:00,954
2023-02-28 00:00:00+00:00,956
2023-03-15 00:00:00+00:00,958
2023-03-16 00:00:00+00:00,959
2023-03-18 00:00:00+00:00,960
2023-03-23 00:00:00+00:00,961
2023-03-28 00:00:00+00:00,962
2023-04-03 00:00:00+00:00,963
2023-04-06 00:00:00+00:00,964
2023-04-10 00:00:00+00:00,965
2023-04-20 00:00:00+00:00,966
2023-04-24 00:00:00+00:00,967
2023-04-26 00:00:00+00:00,968
2023-04-30 00:00:00+00:00,969
2023-05-02 00:00:00+00:00,970
2023-05-08 00:00:00+00:00,971
2023-05-14 00:00:00+00:00,973
2023-05-15 00:00:00+00:00,974
2023-05-19 00:00:00+00:00,975
2023-05-22 00:00:00+00:00,977
2023-05-23 00:00:00+00:00,978
2023-05-31 00:00:00+00:00,979
2023-06-08 00:00:00+00:00,980
2023-06-19 00:00:00+00:00,982
2023-06-20 00:00:00+00:00,983
2023-06-23 00:00:00+00:00,984
2023-07-10 00:00:00+00:00,991
2023-07-11 00:00:00+00:00,1000
2023-07-12 00:00:00+00:00,1001
2023-07-14 00:00:00+00:00,1004
2023-07-19 00:00:00+00:00,1005
2023-07-21 00:00:00+00:00,1006
2023-07-24 00:00:00+00:00,1007
2023-07-27 00:00:00+00:00,1008
2023-07-28 00:00:00+00:00,1009
2023-08-12 00:00:00+00:00,1010
2023-08-17 00:00:00+00:00,1011
2023-08-19 00:00:00+00:00,1012
2023-08-21 00:00:00+00:00,1013
2023-08-22 00:00:00+00:00,1017
2023-08-30 00:00:00+00:00,1018
2023-09-02 00:00:00+00:00,1019
2023-09-03 00:00:00+00:00,1020
2023-09-05 00:00:00+00:00,1021
2023-09-08 00:00:00+00:00,1022
2023-09-18 00:00:00+00:00,1023
2023-09-19 00:00:00+00:00,1024
2023-09-21 00:00:00+00:00,1025
2023-09-24 00:00:00+00:00,1026
2023-10-01 00:00:00+00:00,1027
2023-10-06 00:00:00+00:00,1028
2023-10-08 00:00:00+00:00,1029
2023-10-10 00:00:00+00:00,1030
2023-10-11 00:00:00+00:00,1031
