time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-26 00:00:00+00:00,17.0,13.0,4.0,4.0
2022-09-27 00:00:00+00:00,,,25.0,6.0
2022-09-28 00:00:00+00:00,1.0,1.0,3.0,3.0
2022-09-29 00:00:00+00:00,19.0,17.0,,
2022-09-30 00:00:00+00:00,112.0,46.0,1.0,1.0
2022-10-01 00:00:00+00:00,135.0,45.0,3.0,2.0
2022-10-02 00:00:00+00:00,81.0,39.0,,
2022-10-03 00:00:00+00:00,17.0,14.0,,
2022-10-04 00:00:00+00:00,,,4.0,3.0
2022-10-05 00:00:00+00:00,,,3.0,3.0
2022-10-08 00:00:00+00:00,2.0,2.0,,
2022-10-09 00:00:00+00:00,,,2.0,2.0
