time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-28 00:00:00+00:00,1,1,1.0,1.0
2023-01-29 00:00:00+00:00,16,14,8.0,1.0
2023-01-30 00:00:00+00:00,87,57,3.0,3.0
2023-01-31 00:00:00+00:00,138,81,1.0,1.0
2023-02-01 00:00:00+00:00,48,33,1.0,1.0
2023-02-02 00:00:00+00:00,1,1,,
2023-02-03 00:00:00+00:00,77,53,,
2023-02-04 00:00:00+00:00,207,76,2.0,1.0
2023-02-05 00:00:00+00:00,108,55,1.0,1.0
2023-02-06 00:00:00+00:00,103,56,3.0,2.0
2023-02-07 00:00:00+00:00,118,68,3.0,2.0
2023-02-08 00:00:00+00:00,79,53,4.0,3.0
2023-02-09 00:00:00+00:00,19,18,5.0,1.0
