time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-10 00:00:00+00:00,19,17,9.0,2.0
2022-10-11 00:00:00+00:00,59,27,1.0,1.0
2022-10-12 00:00:00+00:00,59,34,5.0,5.0
2022-10-13 00:00:00+00:00,91,48,,
2022-10-14 00:00:00+00:00,123,51,1.0,1.0
2022-10-15 00:00:00+00:00,77,44,3.0,2.0
2022-10-16 00:00:00+00:00,18,15,,
2022-10-17 00:00:00+00:00,2,1,1.0,1.0
2022-10-18 00:00:00+00:00,2,2,,
2022-10-19 00:00:00+00:00,52,36,,
2022-10-20 00:00:00+00:00,58,37,,
2022-10-21 00:00:00+00:00,120,53,1.0,1.0
2022-10-22 00:00:00+00:00,139,43,,
2022-10-23 00:00:00+00:00,78,37,6.0,3.0
