time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-09 00:00:00+00:00,139,4,31.0,2.0
2024-07-10 00:00:00+00:00,441,38,107.0,2.0
2024-07-11 00:00:00+00:00,229,30,62.0,1.0
2024-07-12 00:00:00+00:00,6,1,,
2024-07-13 00:00:00+00:00,46,7,14.0,2.0
2024-07-15 00:00:00+00:00,12,3,3.0,1.0
2024-07-16 00:00:00+00:00,6,1,,
2024-07-17 00:00:00+00:00,7,2,1.0,1.0
2024-07-18 00:00:00+00:00,6,1,,
2024-07-19 00:00:00+00:00,6,1,,
2024-07-20 00:00:00+00:00,2,2,,
2024-07-22 00:00:00+00:00,4,1,,
