time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-07 00:00:00+00:00,154,94,,
2023-06-08 00:00:00+00:00,135,76,,
2023-06-09 00:00:00+00:00,77,51,,
2023-06-10 00:00:00+00:00,78,50,1.0,1.0
2023-06-11 00:00:00+00:00,126,72,,
2023-06-12 00:00:00+00:00,156,89,,
2023-06-13 00:00:00+00:00,181,100,,
2023-06-14 00:00:00+00:00,97,67,,
2023-06-15 00:00:00+00:00,116,90,,
2023-06-16 00:00:00+00:00,270,123,,
2023-06-17 00:00:00+00:00,397,138,,
2023-06-18 00:00:00+00:00,320,131,,
2023-06-19 00:00:00+00:00,267,125,1.0,1.0
2023-06-20 00:00:00+00:00,335,130,,
