time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-10 00:00:00+00:00,,,1.0,1.0
2022-08-11 00:00:00+00:00,11.0,10.0,,
2022-08-12 00:00:00+00:00,59.0,31.0,1.0,1.0
2022-08-13 00:00:00+00:00,62.0,35.0,,
2022-08-14 00:00:00+00:00,18.0,15.0,,
2022-08-15 00:00:00+00:00,,,1.0,1.0
2022-08-16 00:00:00+00:00,135.0,73.0,4.0,1.0
2022-08-17 00:00:00+00:00,272.0,95.0,16.0,1.0
2022-08-18 00:00:00+00:00,167.0,77.0,3.0,2.0
2022-08-19 00:00:00+00:00,49.0,30.0,,
2022-08-20 00:00:00+00:00,58.0,25.0,,
2022-08-21 00:00:00+00:00,59.0,26.0,,
2022-08-22 00:00:00+00:00,17.0,15.0,3.0,1.0
