time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-25 00:00:00+00:00,6,4,,
2025-02-26 00:00:00+00:00,26,10,5.0,2.0
2025-02-27 00:00:00+00:00,9,5,,
2025-02-28 00:00:00+00:00,3,2,1.0,1.0
2025-03-01 00:00:00+00:00,1,1,,
2025-03-02 00:00:00+00:00,1,1,4.0,1.0
2025-03-03 00:00:00+00:00,1,1,,
2025-03-04 00:00:00+00:00,10,4,,
2025-03-05 00:00:00+00:00,5,3,,
2025-03-06 00:00:00+00:00,26,18,,
2025-03-07 00:00:00+00:00,19,13,,
2025-03-08 00:00:00+00:00,10,9,,
2025-03-09 00:00:00+00:00,5,5,,
2025-03-10 00:00:00+00:00,1,1,,
