time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-03 00:00:00+00:00,14,6,49,2
2024-07-04 00:00:00+00:00,1,1,2,2
2024-07-05 00:00:00+00:00,3,1,18,2
2024-07-06 00:00:00+00:00,13,5,122,2
2024-07-07 00:00:00+00:00,6,3,42,3
2024-07-08 00:00:00+00:00,40,11,149,4
2024-07-09 00:00:00+00:00,3,1,17,1
2024-07-10 00:00:00+00:00,10,5,13,1
2024-07-11 00:00:00+00:00,8,5,14,1
2024-07-12 00:00:00+00:00,2,1,5,1
2024-07-13 00:00:00+00:00,2,1,1,1
2024-07-15 00:00:00+00:00,8,5,2,2
2024-07-16 00:00:00+00:00,1,1,1,1
