time_iso8601,forks_cumulative
2021-09-24 00:00:00+00:00,4
2021-10-22 00:00:00+00:00,5
2021-10-29 00:00:00+00:00,7
2022-03-23 00:00:00+00:00,8
2022-11-12 00:00:00+00:00,9
2023-03-11 00:00:00+00:00,10
2023-05-22 00:00:00+00:00,11
2024-05-20 00:00:00+00:00,12
2024-06-17 00:00:00+00:00,13
2024-12-04 00:00:00+00:00,14
