time_iso8601,forks_cumulative
2022-07-04 00:00:00+00:00,2
2022-07-29 00:00:00+00:00,5
2022-08-12 00:00:00+00:00,6
2022-08-26 00:00:00+00:00,7
2022-11-23 00:00:00+00:00,8
2022-12-03 00:00:00+00:00,9
